Time,Metric,Value,Batch,Component
1384.892029,rt,0.950690,0,A
1384.892029,wait,0.700222,0,A
1384.892029,util,0.741012,0,A
1384.892029,pop,2.812765,0,A
1384.892029,thr,2.956909,0,A
2721.275774,rt,1.026798,1,A
2721.275774,wait,0.780715,1,A
2721.275774,util,0.754279,1,A
2721.275774,pop,3.146866,1,A
2721.275774,thr,3.064988,1,A
4083.032696,rt,3.676120,0,B
4083.032696,wait,2.884498,0,B
4083.032696,util,0.736086,0,B
4083.032696,pop,3.688666,0,B
4083.032696,thr,1.002931,0,B
4085.878787,rt,0.841788,2,A
4085.878787,wait,0.596477,2,A
4085.878787,util,0.736713,2,A
4085.878787,pop,2.532554,2,A
4085.878787,thr,3.001606,2,A
4086.552163,rt,2.192020,0,P
4086.552163,wait,1.498242,0,P
4086.552163,util,0.868304,0,P
4086.552163,pop,2.197462,0,P
4086.552163,thr,1.002067,0,P
4086.690272,rt,8.685921,0,System
4086.690272,pop,8.713997,0,System
4086.690272,util,0.988470,0,System
4086.690272,thr,1.002033,0,System
5453.360034,rt,1.055124,3,A
5453.360034,wait,0.807140,3,A
5453.360034,util,0.741800,3,A
5453.360034,pop,3.151969,3,A
5453.360034,thr,2.995288,3,A
6787.672161,rt,1.057458,4,A
6787.672161,wait,0.811253,4,A
6787.672161,util,0.756774,4,A
6787.672161,pop,3.257540,4,A
6787.672161,thr,3.069747,4,A
8160.753030,rt,0.978375,5,A
8160.753030,wait,0.733269,5,A
8160.753030,util,0.729760,5,A
8160.753030,pop,2.906303,5,A
8160.753030,thr,2.983073,5,A
8160.811091,rt,4.329153,1,B
8160.811091,wait,3.514421,1,B
8160.811091,util,0.000000,1,B
8160.811091,pop,4.347630,1,B
8160.811091,thr,1.004469,1,B
8160.953687,rt,2.265623,1,P
8160.953687,wait,1.577555,1,P
8160.953687,util,0.060613,1,P
8160.953687,pop,2.277141,1,P
8160.953687,thr,1.005301,1,P
8161.078849,rt,9.687155,1,System
8161.078849,pop,9.730230,1,System
8161.078849,util,0.981466,1,System
8161.078849,thr,1.005304,1,System
9557.743997,rt,1.036118,6,A
9557.743997,wait,0.786694,6,A
9557.743997,util,0.731415,6,A
9557.743997,pop,3.038045,6,A
9557.743997,thr,2.932016,6,A
10934.756751,rt,0.997661,7,A
10934.756751,wait,0.745199,7,A
10934.756751,util,0.750673,7,A
10934.756751,pop,2.966982,7,A
10934.756751,thr,2.974555,7,A
12278.451496,rt,3.518518,2,B
12278.451496,wait,2.720028,2,B
12278.451496,util,0.755263,2,B
12278.451496,pop,3.501719,2,B
12278.451496,thr,0.994744,2,B
12280.521601,rt,0.922452,8,A
12280.521601,wait,0.674641,8,A
12280.521601,util,0.755465,8,A
12280.521601,pop,2.815135,8,A
12280.521601,thr,3.043622,8,A
12280.992925,rt,2.409838,2,P
12280.992925,wait,1.708378,2,P
12280.992925,util,0.915820,2,P
12280.992925,pop,2.395727,2,P
12280.992925,thr,0.994165,2,P
12283.739609,rt,8.888000,2,System
12283.739609,pop,8.839978,2,System
12283.739609,util,0.984347,2,System
12283.739609,thr,0.993533,2,System
13674.384757,rt,1.167913,9,A
13674.384757,wait,0.919574,9,A
13674.384757,util,0.728308,9,A
13674.384757,pop,3.423152,9,A
13674.384757,thr,2.938596,9,A
15021.789808,rt,1.225838,10,A
15021.789808,wait,0.980619,10,A
15021.789808,util,0.746186,10,A
15021.789808,pop,3.729612,10,A
15021.789808,thr,3.039917,10,A
16401.455532,rt,4.261166,3,B
16401.455532,wait,3.461618,3,B
16401.455532,util,0.730382,3,B
16401.455532,pop,4.231083,3,B
16401.455532,thr,0.993450,3,B
16407.398310,rt,0.949802,11,A
16407.398310,wait,0.702890,11,A
16407.398310,util,0.731519,11,A
16407.398310,pop,2.836201,11,A
16407.398310,thr,2.956102,11,A
16411.900997,rt,2.485360,3,P
16411.900997,wait,1.783257,3,P
16411.900997,util,0.965106,3,P
16411.900997,pop,2.470794,3,P
16411.900997,thr,0.991550,3,P
16413.463917,rt,10.088472,3,System
16413.463917,pop,10.035157,3,System
16413.463917,util,0.983032,3,System
16413.463917,thr,0.991834,3,System
17758.739899,rt,1.143814,12,A
17758.739899,wait,0.895166,12,A
17758.739899,util,0.751476,12,A
17758.739899,pop,3.433289,12,A
17758.739899,thr,3.031062,12,A
19149.212288,rt,0.851287,13,A
19149.212288,wait,0.601071,13,A
19149.212288,util,0.736397,13,A
19149.212288,pop,2.506516,13,A
19149.212288,thr,2.945761,13,A
20573.384783,rt,3.671193,4,B
20573.384783,wait,2.882382,4,B
20573.384783,util,0.706324,4,B
20573.384783,pop,3.604170,4,B
20573.384783,thr,0.981800,4,B
20573.840663,rt,2.199087,4,P
20573.840663,wait,1.498623,4,P
20573.840663,util,0.706381,4,P
20573.840663,pop,2.157618,4,P
20573.840663,thr,0.984157,4,P
20573.858104,rt,0.800173,14,A
20573.858104,wait,0.554483,14,A
20573.858104,util,0.706372,14,A
20573.858104,pop,2.300566,14,A
20573.858104,thr,2.875101,14,A
20573.858104,rt,8.663821,4,System
20573.858104,pop,8.487045,4,System
20573.858104,util,0.979215,4,System
20573.858104,thr,0.984522,4,System
21931.282673,rt,0.893813,15,A
21931.282673,wait,0.647135,15,A
21931.282673,util,0.746116,15,A
21931.282673,pop,2.718243,15,A
21931.282673,thr,3.017479,15,A
23297.058219,rt,1.081761,16,A
23297.058219,wait,0.825589,16,A
23297.058219,util,0.767719,16,A
23297.058219,pop,3.225179,16,A
23297.058219,thr,2.999029,16,A
