Component,Lambda,Metric,Value,CI
A,3.00,pop,5.275334,0.11636884679264559
A,3.00,rt,1.463122,0.030510659684493645
A,3.00,thr,3.601711,0.006766773543772517
A,3.00,util,0.840226,0.002057370665824306
A,3.00,wait,1.229827,0.030298622267140023
B,3.00,pop,24.217869,2.1151661412573324
B,3.00,rt,20.096602,1.7387228645045811
B,3.00,thr,1.200599,0.002394968902604369
B,3.00,util,0.960006,0.002742379842422513
B,3.00,wait,19.296897,1.7376695435304579
P,3.00,pop,0.925715,0.006404480450466997
P,3.00,rt,0.771032,0.004630311828976479
P,3.00,thr,1.200595,0.0023949581307243463
P,3.00,util,0.480658,0.0014290634023409739
P,3.00,wait,0.370625,0.004108419237316736
System,3.00,pop,30.418693,2.150625719240199
System,3.00,rt,25.257000,1.7642908829544584
System,3.00,thr,1.200594,0.002390745926178819
System,3.00,util,0.996619,3.055141893326317E-4
