Component,Lambda,Metric,Value,CI
A,0.50,pop,0.539147,0.0023332658701095484
A,0.50,rt,0.359240,0.0012189745948933644
A,0.50,thr,1.500742,0.0029306124205339197
A,0.50,util,0.350101,8.686574324452628E-4
A,0.50,wait,0.125944,9.777192894026303E-4
B,0.50,pop,0.666722,0.003977887755113629
B,0.50,rt,1.332809,0.006862714058809387
B,0.50,thr,0.500248,9.779877113500462E-4
B,0.50,util,0.399987,0.0012054502816499593
B,0.50,wait,0.533098,0.005738545093770003
P,0.50,pop,0.250630,0.0010036803249833662
P,0.50,rt,0.501102,0.0015815200827132049
P,0.50,thr,0.500247,9.78256739023121E-4
P,0.50,util,0.200259,5.899037871566364E-4
P,0.50,wait,0.100695,9.777348290066377E-4
System,0.50,pop,1.456484,0.0057793221449807045
System,0.50,rt,2.911627,0.008178965349991827
System,0.50,thr,0.500247,9.783132258081167E-4
System,0.50,util,0.688047,0.001146186674871933
A,0.55,pop,0.624826,0.0031157224880636694
A,0.55,rt,0.379005,0.0014299502952674868
A,0.55,thr,1.648452,0.0035565098033111765
A,0.55,util,0.384458,0.0010090705154977772
A,0.55,wait,0.145769,0.001219043667083328
B,0.55,pop,0.785404,0.004996598223402053
B,0.55,rt,1.429325,0.007758859090004256
B,0.55,thr,0.549484,0.0011863651858647303
B,0.55,util,0.439385,0.0013534674222170746
B,0.55,wait,0.629566,0.006632980797674955
P,0.55,pop,0.281492,0.0011514568939286845
P,0.55,rt,0.512367,0.0016649767960936603
P,0.55,thr,0.549484,0.001186382160004797
P,0.55,util,0.219501,6.274911991479028E-4
P,0.55,wait,0.112816,0.0011328450149958196
System,0.55,pop,1.691642,0.007728846769634316
System,0.55,rt,3.078707,0.010113211104624735
System,0.55,thr,0.549483,0.0011860923608753547
System,0.55,util,0.730018,0.0012030624720786038
A,0.60,pop,0.722097,0.0038526247999037403
A,0.60,rt,0.401498,0.0016493878421070048
A,0.60,thr,1.798310,0.003878009164962254
A,0.60,util,0.419411,0.001100374345045799
A,0.60,wait,0.168261,0.00144676704114917
B,0.60,pop,0.922249,0.006409930048971692
B,0.60,rt,1.538440,0.009265262966795725
B,0.60,thr,0.599437,0.0012937745756565148
B,0.60,util,0.479335,0.001476603455362626
B,0.60,wait,0.738681,0.00813589443577054
P,0.60,pop,0.314762,0.0013422421311570763
P,0.60,rt,0.525175,0.0017892558223659414
P,0.60,thr,0.599436,0.001293675064845224
P,0.60,util,0.239456,6.843053400845882E-4
P,0.60,wait,0.125623,0.0012711215836375678
System,0.60,pop,1.959035,0.00974809365014066
System,0.60,rt,3.268107,0.012116691536095365
System,0.60,thr,0.599436,0.0012933919318351582
System,0.60,util,0.769373,0.001199808296568981
A,0.65,pop,0.832182,0.00473698120932277
A,0.65,rt,0.427105,0.001912041008210786
A,0.65,thr,1.948170,0.004204639889338805
A,0.65,util,0.454361,0.001192193219350119
A,0.65,wait,0.193868,0.001718268382193417
B,0.65,pop,1.081650,0.008295613777356006
B,0.65,rt,1.665472,0.011215901480631178
B,0.65,thr,0.649390,0.0014010304962590518
B,0.65,util,0.519280,0.0016013369382333169
B,0.65,wait,0.865713,0.010101887585001235
P,0.65,pop,0.350016,0.0015652070906938043
P,0.65,rt,0.539071,0.0019196547865235523
P,0.65,thr,0.649390,0.0014019031678403108
P,0.65,util,0.259410,7.412108819929834E-4
P,0.65,wait,0.139520,0.0014238232742713789
System,0.65,pop,2.263759,0.012287367886162746
System,0.65,rt,3.485858,0.014508629389009872
System,0.65,thr,0.649389,0.0014013340419152852
System,0.65,util,0.804975,0.0011760599432702275
A,0.70,pop,0.956284,0.005766297557276083
A,0.70,rt,0.455730,0.0021950746492285077
A,0.70,thr,2.098029,0.004528769371190645
A,0.70,util,0.489312,0.0012835509603849496
A,0.70,wait,0.222493,0.0019999224842805067
B,0.70,pop,1.271463,0.01077779866446327
B,0.70,rt,1.817810,0.013651370620142699
B,0.70,thr,0.699343,0.0015091247093428762
B,0.70,util,0.559228,0.0017246646010535818
B,0.70,wait,1.018051,0.012544089129661123
P,0.70,pop,0.387394,0.0017452708661980715
P,0.70,rt,0.554019,0.00200705485827954
P,0.70,thr,0.699343,0.0015104841335028495
P,0.70,util,0.279366,7.983385769787562E-4
P,0.70,wait,0.154467,0.0014880877030765947
System,0.70,pop,2.615053,0.015506544693858709
System,0.70,rt,3.739018,0.01746770616425713
System,0.70,thr,0.699342,0.0015099272205988197
System,0.70,util,0.837002,0.0011451122834855005
A,0.75,pop,1.099495,0.007223120090019708
A,0.75,rt,0.489020,0.0025979566571725683
A,0.75,thr,2.247888,0.004850874656218147
A,0.75,util,0.524268,0.0013749038125996334
A,0.75,wait,0.255784,0.0024074331423474156
B,0.75,pop,1.499056,0.014020280994469033
B,0.75,rt,2.000219,0.016733741404751038
B,0.75,thr,0.749296,0.0016177824263403564
B,0.75,util,0.599175,0.001847654572624142
B,0.75,wait,1.200460,0.015641507977866436
P,0.75,pop,0.426512,0.002092990022901546
P,0.75,rt,0.569265,0.002255479097675765
P,0.75,thr,0.749296,0.0016195262142344965
P,0.75,util,0.299325,8.556093987611538E-4
P,0.75,wait,0.169713,0.001743268597603214
System,0.75,pop,3.024932,0.01997399127077437
System,0.75,rt,4.036545,0.02149677246199157
System,0.75,thr,0.749295,0.0016186932324012276
System,0.75,util,0.865591,0.001094531821516208
A,0.80,pop,1.266277,0.009467720546507685
A,0.80,rt,0.527961,0.003245636895196468
