Component,Lambda,Metric,Value,CI
A,0.50,pop,0.600979,0.002684516676541986
A,0.50,rt,0.400433,0.001399465249962597
A,0.50,thr,1.500742,0.0029321467007187687
A,0.50,util,0.375196,9.241828808541154E-4
A,0.50,wait,0.150416,0.001146630112118964
B,0.50,pop,0.666711,0.00397960435525083
B,0.50,rt,1.332788,0.006866785717612641
B,0.50,thr,0.500248,9.780880170294258E-4
B,0.50,util,0.399986,0.0012055660886830563
B,0.50,wait,0.533076,0.005735054220405641
P,0.50,pop,0.540142,0.0028692865016250887
P,0.50,rt,1.079865,0.004855372921576442
P,0.50,thr,0.500247,9.78898563807323E-4
P,0.50,util,0.350463,0.0010318120624151375
P,0.50,wait,0.379153,0.0038472301795891097
System,0.50,pop,1.807821,0.0073403870524253725
System,0.50,rt,3.613947,0.010335186759338191
System,0.50,thr,0.500247,9.788034236796709E-4
System,0.50,util,0.756386,0.001136451584706225
A,0.55,pop,0.700342,0.003579762246785178
A,0.55,rt,0.424804,0.0016405254965297068
A,0.55,thr,1.648451,0.003555394755815041
A,0.55,util,0.411947,0.0010629931020964987
A,0.55,wait,0.174892,0.0014329164445509722
B,0.55,pop,0.785426,0.00499542763256617
B,0.55,rt,1.429359,0.0077496123680960045
B,0.55,thr,0.549484,0.001186239934267959
B,0.55,util,0.439385,0.0013531552526533487
B,0.55,wait,0.629600,0.0066272860862335095
P,0.55,pop,0.623766,0.0035907158908763956
P,0.55,rt,1.135226,0.005428668131898738
P,0.55,thr,0.549484,0.0011869288708621273
P,0.55,util,0.384134,0.0010978385732692936
P,0.55,wait,0.436011,0.004588616473591712
System,0.55,pop,2.109460,0.009864952179621212
System,0.55,rt,3.838998,0.012724140126675753
System,0.55,thr,0.549483,0.0011863458172764404
System,0.55,util,0.796193,0.001135139919076059
A,0.60,pop,0.815523,0.004493143243488647
A,0.60,rt,0.453434,0.0019316862212202539
A,0.60,thr,1.798310,0.003879282971859069
A,0.60,util,0.449397,0.0011592946522137994
A,0.60,wait,0.203522,0.0017314186507962517
B,0.60,pop,0.922232,0.006407488341851125
B,0.60,rt,1.538421,0.009272819945068785
B,0.60,thr,0.599437,0.001293609644238691
B,0.60,util,0.479332,0.0014768255027771972
B,0.60,wait,0.738662,0.008135256161963698
P,0.60,pop,0.721496,0.004521537463522724
P,0.60,rt,1.203624,0.00639558287694254
P,0.60,thr,0.599437,0.0012952215897182268
P,0.60,util,0.419061,0.0011978068541119416
P,0.60,wait,0.504408,0.005539324869370351
System,0.60,pop,2.459179,0.01244888246908
System,0.60,rt,4.102348,0.015268203926031494
System,0.60,thr,0.599436,0.0012943864798667668
System,0.60,util,0.832597,0.0010931398231407252
A,0.65,pop,0.947622,0.005598272666125812
A,0.65,rt,0.486341,0.0022689991626552134
A,0.65,thr,1.948169,0.004203981735097737
A,0.65,util,0.486844,0.0012560163345010026
A,0.65,wait,0.236428,0.002079477146144883
B,0.65,pop,1.081830,0.008312762366713406
B,0.65,rt,1.665761,0.011256083564783864
B,0.65,thr,0.649390,0.0014009012787755874
B,0.65,util,0.519280,0.0016013633448208632
B,0.65,wait,0.866002,0.010128388608225186
P,0.65,pop,0.831678,0.0056356546217500875
P,0.65,rt,1.280692,0.007431707764045702
P,0.65,thr,0.649390,0.0014046087420850773
P,0.65,util,0.453981,0.0012974496406617142
P,0.65,wait,0.581476,0.006594726897465636
System,0.65,pop,2.861069,0.01566016523167461
System,0.65,rt,4.405474,0.01815204643939955
System,0.65,thr,0.649390,0.0014036075355721375
System,0.65,util,0.864457,0.0010539736350495506
A,0.70,pop,1.100584,0.007033526015516493
A,0.70,rt,0.524481,0.0026981903469511163
A,0.70,thr,2.098027,0.0045268049744126865
A,0.70,util,0.524296,0.0013522749282547188
A,0.70,wait,0.274568,0.002511723966324728
B,0.70,pop,1.271785,0.010740751952001427
B,0.70,rt,1.818294,0.013629079539183025
B,0.70,thr,0.699343,0.0015091673821798347
B,0.70,util,0.559227,0.0017246817036616685
B,0.70,wait,1.018535,0.012511385937124964
P,0.70,pop,0.956650,0.006811807235568692
P,0.70,rt,1.367850,0.00837595223300623
P,0.70,thr,0.699343,0.0015128531268573744
P,0.70,util,0.488907,0.0013981470073042158
P,0.70,wait,0.668635,0.007541546996396123
System,0.70,pop,3.328913,0.019805597170360945
System,0.70,rt,4.759587,0.0218681370682826
System,0.70,thr,0.699342,0.0015116617957003026
System,0.70,util,0.892007,9.845281691954328E-4
A,0.75,pop,1.279192,0.009066602481268178
A,0.75,rt,0.568919,0.0032872171748161714
A,0.75,thr,2.247885,0.004848599585906039
A,0.75,util,0.561748,0.0014485252681667449
A,0.75,wait,0.319006,0.003104140975939096
B,0.75,pop,1.498513,0.013978587167375245
B,0.75,rt,1.999491,0.01665747180749345
B,0.75,thr,0.749296,0.0016186533510737888
B,0.75,util,0.599174,0.0018483301927346373
B,0.75,wait,1.199732,0.015560400415654332
P,0.75,pop,1.099752,0.008844170336354405
P,0.75,rt,1.467569,0.010271315813208134
P,0.75,thr,0.749296,0.0016227520467580678
P,0.75,util,0.523825,0.0014970490422108037
P,0.75,wait,0.768353,0.009472182692215338
System,0.75,pop,3.877370,0.0260264474215682
System,0.75,rt,5.173817,0.027534193813856956
System,0.75,thr,0.749295,0.0016206527891773584
System,0.75,util,0.915463,9.204837465740879E-4
A,0.80,pop,1.492916,0.011999892677903324
A,0.80,rt,0.622420,0.004151785120579407
A,0.80,thr,2.397744,0.0051775368360593745
A,0.80,util,0.599199,0.0015461125703090674
A,0.80,wait,0.372507,0.003979056439832252
B,0.80,pop,1.776242,0.018389366176516538
B,0.80,rt,2.221787,0.02070796792540504
B,0.80,thr,0.799249,0.0017270776796027955
B,0.80,util,0.639123,0.001971524326321476
B,0.80,wait,1.422028,0.019626302344459483
P,0.80,pop,1.267487,0.011020436977412012
P,0.80,rt,1.585606,0.012134282278127947
P,0.80,thr,0.799249,0.0017319627473505572
P,0.80,util,0.558756,0.0015984395410958336
P,0.80,wait,0.886391,0.011343302754546388
System,0.80,pop,4.536598,0.033710677338193475
System,0.80,rt,5.674654,0.03406228830506001
System,0.80,thr,0.799248,0.0017299528988143186
System,0.80,util,0.935336,8.658482457246817E-4
A,0.85,pop,1.749173,0.01548986576648834
A,0.85,rt,0.686319,0.00513899647238361
A,0.85,thr,2.547603,0.005502500093904451
A,0.85,util,0.636654,0.0016440512125301023
A,0.85,wait,0.436406,0.004971386540623963
B,0.85,pop,2.123673,0.02465336929322176
B,0.85,rt,2.499910,0.026375358227572622
B,0.85,thr,0.849203,0.0018366250045940607
B,0.85,util,0.679068,0.0020941450616965684
B,0.85,wait,1.700151,0.02530003450929848
P,0.85,pop,1.463188,0.013434214407834854
P,0.85,rt,1.722692,0.0139889498820109
P,0.85,thr,0.849202,0.0018416512238700747
P,0.85,util,0.593679,0.0016964714484280345
P,0.85,wait,1.023477,0.013232239162091972
System,0.85,pop,5.335811,0.043850368189121684
System,0.85,rt,6.281558,0.042583457882524815
System,0.85,thr,0.849201,0.0018386490477837446
System,0.85,util,0.951929,8.059595563526105E-4
A,0.90,pop,2.067240,0.020282064924992627
A,0.90,rt,0.766037,0.0065343633669420545
A,0.90,thr,2.697464,0.005836116563540216
A,0.90,util,0.674103,0.0017404692698239081
A,0.90,wait,0.516124,0.006361718958541404
B,0.90,pop,2.569024,0.03445035624888038
B,0.90,rt,2.855824,0.03522728737382316
B,0.90,thr,0.899156,0.0019472319050542158
B,0.90,util,0.719018,0.0022181158890696895
B,0.90,wait,2.056065,0.034168559452526
P,0.90,pop,1.693477,0.017153178874238867
P,0.90,rt,1.882950,0.017065974557265332
P,0.90,thr,0.899154,0.0019523381922947705
P,0.90,util,0.628600,0.0017986320967846824
P,0.90,wait,1.183737,0.016295226958585828
System,0.90,pop,6.329470,0.058491089102879416
System,0.90,rt,7.036888,0.055087576788739254
System,0.90,thr,0.899152,0.001949709969333219
System,0.90,util,0.965443,7.165534481367909E-4
A,0.95,pop,2.467812,0.027544544379706718
A,0.95,rt,0.866264,0.008543704314065564
A,0.95,thr,2.847320,0.0061632318814465546
A,0.95,util,0.711551,0.0018382444476008736
A,0.95,wait,0.616351,0.008377770958762297
B,0.95,pop,3.155413,0.05040090948425728
B,0.95,rt,3.322689,0.0494616088526242
B,0.95,thr,0.949111,0.0020627878988544648
B,0.95,util,0.758954,0.002343362558360852
B,0.95,wait,2.522930,0.04842383617251862
P,0.95,pop,1.969297,0.021383288702162544
P,0.95,rt,2.074294,0.02035577696051734
P,0.95,thr,0.949107,0.0020653853836218473
P,0.95,util,0.663528,0.00190367052619251
P,0.95,wait,1.375084,0.01959345743515844
System,0.95,pop,7.592162,0.08060910780937897
System,0.95,rt,7.995774,0.07368122561399108
System,0.95,thr,0.949105,0.0020615112193481657
System,0.95,util,0.976159,6.262962926052643E-4
A,1.00,pop,2.981205,0.03945651293543234
A,1.00,rt,0.994012,0.011810578827341376
A,1.00,thr,2.997179,0.006499246801423936
A,1.00,util,0.748999,0.00193711770349705
A,1.00,wait,0.744099,0.01164781233231502
B,1.00,pop,3.978243,0.07938144798574463
B,1.00,rt,3.978896,0.07467644661131148
B,1.00,thr,0.999066,0.0021790700979714387
B,1.00,util,0.798907,0.0024653879922334836
B,1.00,wait,3.179137,0.07368428033496632
P,1.00,pop,2.312950,0.0284050024411679
P,1.00,rt,2.314273,0.02599040338941223
P,1.00,thr,0.999056,0.002179061017468316
