Component,Lambda,Metric,Value,CI
A,0.50,pop,0.598262,0.002794938490041968
A,0.50,rt,0.399395,0.0013576863015675887
A,0.50,thr,1.497812,0.003403551456845629
A,0.50,util,0.374493,9.675723345648836E-4
A,0.50,wait,0.149352,0.0011454252838448858
B,0.50,pop,0.660594,0.003771107924814446
B,0.50,rt,1.323364,0.00632171248107106
B,0.50,thr,0.499212,0.0011143148048565884
B,0.50,util,0.398894,0.0012079943449937272
B,0.50,wait,0.523384,0.005157652011464177
P,0.50,pop,0.537737,0.002980686818223884
P,0.50,rt,1.077245,0.0049439028659462635
P,0.50,thr,0.499210,0.0011120919516763139
P,0.50,util,0.349452,0.001111372170918944
P,0.50,wait,0.377108,0.003929964393220439
System,0.50,pop,1.796557,0.007794355427023695
System,0.50,rt,3.598888,0.010708189235384165
System,0.50,thr,0.499210,0.001112586822415561
System,0.50,util,0.755342,0.0011586910896521922
A,0.55,pop,0.704124,0.0034451340649003267
A,0.55,rt,0.426613,0.0015743199490619775
A,0.55,thr,1.650334,0.0034948282802953513
A,0.55,util,0.413038,0.0010511690336094893
A,0.55,wait,0.176327,0.001389962712093395
B,0.55,pop,0.776413,0.004709917385634521
B,0.55,rt,1.411403,0.007120417124183506
B,0.55,thr,0.550108,0.001165651053700517
B,0.55,util,0.439846,0.0012638818804686514
B,0.55,wait,0.610174,0.005962762310834997
P,0.55,pop,0.626345,0.0037049866311206947
P,0.55,rt,1.138613,0.005685206495637923
P,0.55,thr,0.550107,0.0011644636395825557
P,0.55,util,0.384819,0.001209157138569025
P,0.55,wait,0.438965,0.0046078789665080005
System,0.55,pop,2.106868,0.009671451624365775
System,0.55,rt,3.829838,0.012276111828222526
System,0.55,thr,0.550106,0.0011646689692960705
System,0.55,util,0.797758,0.0011188604706695142
A,0.60,pop,0.822675,0.004520789308084513
A,0.60,rt,0.455477,0.0019080515937787382
A,0.60,thr,1.805932,0.003964352006302115
A,0.60,util,0.450943,0.0011311863241500056
A,0.60,wait,0.205761,0.001734276474557428
B,0.60,pop,0.906322,0.0055670032915158315
B,0.60,rt,1.505653,0.007586518521846706
B,0.60,thr,0.601948,0.0013680549138589701
B,0.60,util,0.479744,0.0014997487345787968
B,0.60,wait,0.705756,0.006348878484766407
P,0.60,pop,0.728709,0.004463977972677083
P,0.60,rt,1.210665,0.00643435662445972
P,0.60,thr,0.601948,0.0013688995176270688
P,0.60,util,0.420963,0.0012404241821710163
P,0.60,wait,0.511205,0.005478653803504745
System,0.60,pop,2.457580,0.011328986486995131
System,0.60,rt,4.082689,0.012716128269896827
System,0.60,thr,0.601948,0.0013687507128184642
System,0.60,util,0.834527,0.001216122869131853
A,0.65,pop,0.951114,0.0055273443420736776
A,0.65,rt,0.487971,0.002214535858597692
A,0.65,thr,1.948818,0.004344193622004993
A,0.65,util,0.486961,0.0012073777882848557
A,0.65,wait,0.238079,0.0020516057713616223
B,0.65,pop,1.039361,0.006840180807208958
B,0.65,rt,1.599900,0.008809141817336701
B,0.65,thr,0.649622,0.0014039386894789895
B,0.65,util,0.517032,0.0015596779579537866
B,0.65,wait,0.800111,0.007629568058590039
P,0.65,pop,0.834526,0.005952626975422595
P,0.65,rt,1.284559,0.007844763510218464
P,0.65,thr,0.649621,0.0014020090839463842
P,0.65,util,0.454653,0.0014728215418409137
P,0.65,wait,0.584566,0.006873958854040086
System,0.65,pop,2.824909,0.014610977789382862
System,0.65,rt,4.348320,0.015892616243581344
System,0.65,thr,0.649621,0.00140211845772559
System,0.65,util,0.864989,0.001082860013344044
A,0.70,pop,1.109813,0.006931537417247308
A,0.70,rt,0.527803,0.002504312252084306
A,0.70,thr,2.102245,0.0050436502722241774
A,0.70,util,0.525638,0.0014170536842938242
A,0.70,wait,0.277752,0.0023288326389904798
B,0.70,pop,1.199949,0.007697134749467347
B,0.70,rt,1.712452,0.009200468414410261
B,0.70,thr,0.700715,0.0016235277910801765
B,0.70,util,0.555979,0.0016268678108437022
B,0.70,wait,0.912798,0.008011611851234819
P,0.70,pop,0.960062,0.006987772889650619
P,0.70,rt,1.370010,0.008504094593951617
P,0.70,thr,0.700716,0.0016267322867300877
P,0.70,util,0.490302,0.0015942565669022637
P,0.70,wait,0.670191,0.007528143488798372
System,0.70,pop,3.269678,0.017366435269590506
System,0.70,rt,4.665739,0.017618273755300538
