j (lag)   r[j] (autocorrelation)
  1          0,122
  2          0,026
  3          -0,025
  4          -0,007
  5          0,077
  6          0,005
  7          0,029
  8          0,058
  9          0,056
  10          0,115
  11          0,049
  12          0,067
  13          0,059
  14          0,196
  15          0,079
  16          0,107
  17          0,176
  18          0,093
  19          0,112
  20          0,049
  21          -0,007
  22          0,112
  23          0,065
  24          0,227
  25          0,085
  26          -0,017
  27          0,100
  28          0,002
  29          0,168
  30          0,118
  31          0,151
  32          0,041
  33          0,053
  34          0,108
  35          0,164
  36          0,093
  37          0,049
  38          0,115
  39          0,065
  40          0,054
  41          0,045
  42          0,111
  43          0,162
  44          0,106
  45          0,066
  46          0,144
  47          0,174
  48          0,139
  49          0,111
  50          -0,019
