Time,Metric,Value,Seed,Component
250.000000,ResponseTime,2.523920,123456789,A
250.000000,ResponseTime,3.673901,123456789,B
250.000000,ResponseTime,2.758775,123456789,P
250.000000,ResponseTime,13.806322,123456789,System
250.000000,Population,9.275197,123456789,A
250.000000,Population,4.500612,123456789,B
250.000000,Population,3.352133,123456789,P
250.000000,Population,17.111756,123456789,System
250.000000,Throughput,3.560000,123456789,A
250.000000,Throughput,1.212000,123456789,B
250.000000,Throughput,1.156000,123456789,P
250.000000,Throughput,1.144000,123456789,System
250.000000,Utilization,0.912985,123456789,A
250.000000,Utilization,0.866945,123456789,B
250.000000,Utilization,0.807502,123456789,P
250.000000,Utilization,0.998122,123456789,System
250.000000,WaitTime,2.273753,123456789,A
250.000000,WaitTime,2.869842,123456789,B
250.000000,WaitTime,2.077372,123456789,P
500.000000,ResponseTime,2.245073,123456789,A
500.000000,ResponseTime,3.544923,123456789,B
500.000000,ResponseTime,4.976687,123456789,P
500.000000,ResponseTime,15.313583,123456789,System
500.000000,Population,8.225275,123456789,A
500.000000,Population,4.360256,123456789,B
500.000000,Population,6.061605,123456789,P
500.000000,Population,18.644866,123456789,System
500.000000,Throughput,3.660000,123456789,A
500.000000,Throughput,1.230000,123456789,B
500.000000,Throughput,1.218000,123456789,P
500.000000,Throughput,1.212000,123456789,System
500.000000,Utilization,0.920737,123456789,A
500.000000,Utilization,0.857793,123456789,B
500.000000,Utilization,0.874427,123456789,P
500.000000,Utilization,0.998994,123456789,System
500.000000,WaitTime,1.993898,123456789,A
500.000000,WaitTime,2.761421,123456789,B
500.000000,WaitTime,4.258767,123456789,P
750.000000,ResponseTime,1.968735,123456789,A
750.000000,ResponseTime,3.665100,123456789,B
750.000000,ResponseTime,4.354486,123456789,P
750.000000,ResponseTime,13.937127,123456789,System
750.000000,Population,7.103495,123456789,A
750.000000,Population,4.456277,123456789,B
750.000000,Population,5.219577,123456789,P
750.000000,Population,16.772149,123456789,System
750.000000,Throughput,3.608000,123456789,A
750.000000,Throughput,1.202667,123456789,B
750.000000,Throughput,1.198667,123456789,P
750.000000,Throughput,1.198667,123456789,System
750.000000,Utilization,0.908958,123456789,A
750.000000,Utilization,0.879261,123456789,B
750.000000,Utilization,0.848942,123456789,P
750.000000,Utilization,0.998347,123456789,System
750.000000,WaitTime,1.716877,123456789,A
750.000000,WaitTime,2.862287,123456789,B
750.000000,WaitTime,3.646248,123456789,P
1000.000000,ResponseTime,1.813099,123456789,A
1000.000000,ResponseTime,3.600777,123456789,B
1000.000000,ResponseTime,3.831150,123456789,P
1000.000000,ResponseTime,12.885452,123456789,System
1000.000000,Population,6.507319,123456789,A
1000.000000,Population,4.315915,123456789,B
1000.000000,Population,4.571170,123456789,P
1000.000000,Population,15.395325,123456789,System
1000.000000,Throughput,3.580000,123456789,A
1000.000000,Throughput,1.196000,123456789,B
1000.000000,Throughput,1.191000,123456789,P
1000.000000,Throughput,1.187000,123456789,System
1000.000000,Utilization,0.903035,123456789,A
1000.000000,Utilization,0.873485,123456789,B
1000.000000,Utilization,0.826189,123456789,P
1000.000000,Utilization,0.998167,123456789,System
1000.000000,WaitTime,1.561441,123456789,A
1000.000000,WaitTime,2.803818,123456789,B
1000.000000,WaitTime,3.139293,123456789,P
1250.000000,ResponseTime,1.783929,123456789,A
1250.000000,ResponseTime,3.548429,123456789,B
1250.000000,ResponseTime,3.690859,123456789,P
1250.000000,ResponseTime,12.537122,123456789,System
1250.000000,Population,6.370398,123456789,A
1250.000000,Population,4.263539,123456789,B
1250.000000,Population,4.325686,123456789,P
1250.000000,Population,14.950464,123456789,System
1250.000000,Throughput,3.528000,123456789,A
1250.000000,Throughput,1.181600,123456789,B
1250.000000,Throughput,1.172000,123456789,P
1250.000000,Throughput,1.168800,123456789,System
1250.000000,Utilization,0.891065,123456789,A
1250.000000,Utilization,0.867611,123456789,B
1250.000000,Utilization,0.817442,123456789,P
1250.000000,Utilization,0.998303,123456789,System
1250.000000,WaitTime,1.532669,123456789,A
1250.000000,WaitTime,2.761063,123456789,B
1250.000000,WaitTime,2.993383,123456789,P
1500.000000,ResponseTime,2.032826,123456789,A
1500.000000,ResponseTime,3.676739,123456789,B
1500.000000,ResponseTime,3.648505,123456789,P
1500.000000,ResponseTime,13.414619,123456789,System
1500.000000,Population,7.326069,123456789,A
1500.000000,Population,4.422186,123456789,B
